,Tweet,Message,Match,Polarity
0,1,Oh no  I want to cut my hair again ,-,NEUTRAL
1,2,Kaveh Shahrooz has launched a propaganda and smear campaign against NassimNo in Canada by mendaciously portraying Nassims tweet as a threat Kaveh is in ideological alliance with Trumps apologists He is a genuine warmonger under the guise of human rights activist Concordia ,"['propaganda', 'smear', 'threat', 'apologists']",NEGATIVE
2,3,RepDanCrenshaw If you are truly against open borders start campaigning for a wall on the border with Canada If that doesnt seem like a priority then either youre not against open borders or this is all about race At least be open about that,['like'],POSITIVE
3,4,PMIKJalsaInUSA is trending in Canada  ImranKhanPTI  ,-,NEUTRAL
4,5,In contrast Canada has negotiated a trade deal with the EU and the US These are the people who know how to do trade negotiations ,-,NEUTRAL
5,6,Carrot prices have jumped 30 since February Heres why ,-,NEUTRAL
6,7,babeelder robreiner LouDobbs Yeah isnt he and half of Hollywood supposed to be in Canada by now,-,NEUTRAL
7,8,Headlines  Transportation Safety Board of Canada releases 201819 Annual Report  ,-,NEUTRAL
8,9,Another SING Canada in the books SINGCanada2019 canadasing indigenoussts ,-,NEUTRAL
9,10,listerlester johnpavlovitz IlhanMN Because they come in through Canada Just not made a public spectacle of by DEMS because they cant blame it on racism like they can at So borderMany had tourist or student visas and simply stayed here after their visas expired so not news worthy,"['blame', 'racism', 'expired']",NEGATIVE
10,11,If Michelle doesnt like the way we do things in Canada she now has an option to go live somewhere else Feel free to leave anytime soon Bye ,"['like', 'free']",POSITIVE
11,12,People have come to listen PM IKs address not only from Washington DC but also from other states of America even people have come all the way from Canada to listen KaptaaanPMIKJalsaInUSA ,-,NEUTRAL
12,13,Pastor Arrested for Preaching Against HomosexualityPastor David Lynn of Christ Forgiveness Ministries was arrested on June 4 2019 for preaching the gospel publicly in Toronto Canada ,-,NEUTRAL
